objID,l,b,ra,dec,psfMag_u,psfMag_r,psfMag_i,psfMag_g,psfMag_z,psfMagErr_u,psfMagErr_r,psfMagErr_i,psfMagErr_g,psfMagErr_z,extinction_u,extinction_r,extinction_i,extinction_g,extinction_z
1237680302642692649,92.4976937823009,-29.999813429871,343.676330781503,25.8846361657153,26.53754,23.7315,24.72919,23.20531,21.78908,0.3519417,0.3609704,0.8045286,0.5824471,0.6702923,0.5737263,0.3092627,0.2298153,0.4470436,0.1709404
1237680247339483175,76.3983762977953,-29.9998976965833,331.607091289743,17.5916939350428,17.43748,15.82176,15.66061,16.25361,15.59785,0.02667478,0.01660941,0.0122534,0.01863247,0.01675753,0.2132314,0.1149408,0.08541331,0.1661485,0.06353181
1237680247339614963,76.7414050808992,-29.9999072034844,331.836857693211,17.7925288151265,26.51104,25.83151,24.62472,22.94609,22.93153,1.019469,0.6329619,0.9233697,0.4736181,0.7651936,0.207669,0.1119424,0.08318517,0.1618143,0.06187449
1237680298344186657,79.8192806061645,-29.999813402675,333.950141051594,19.5523100632074,22.41315,21.26924,20.8978,22.13083,20.76021,0.2991659,0.06843375,0.07078984,0.07537875,0.2648703,0.2423185,0.1306199,0.09706461,0.188813,0.07219823
1237680306400592718,91.9203979514342,-29.9998104066385,343.197150417847,25.6322398884418,25.86849,21.85384,21.36651,23.64746,20.61713,0.8830411,0.1068271,0.1082933,0.2662359,0.2230985,0.6856039,0.3695695,0.2746297,0.5342179,0.2042741
1237666433114964591,83.8715243107737,-29.99980782102,336.877855274183,21.7455163812032,23.87839,19.56442,18.36028,20.98785,17.73195,0.6273528,0.01659483,0.01681079,0.02971537,0.0228262,0.2032758,0.1095743,0.08142541,0.1583911,0.06056555
1237666435264152415,88.6975451191799,-29.9998074844475,340.585720247093,24.1560700703386,24.7006,23.326,23.09439,23.23617,21.7264,0.7755553,0.3007855,0.4046683,0.1524354,0.3948126,0.2386923,0.1286652,0.09561205,0.1859874,0.0711178
1237666246295814416,88.0307643004271,-29.9998063546158,340.05896968139,23.8368963030431,18.57017,16.6765,16.47539,17.20089,16.35238,0.02768305,0.02329819,0.01995879,0.02200182,0.01908253,0.2013179,0.1085189,0.08064116,0.1568656,0.05998221
1237672763365590191,92.8869412508697,-29.9998040506516,344.001360887524,26.0527043840985,23.11954,21.02742,20.32752,21.84543,19.89906,0.3475854,0.04185622,0.03371584,0.05569508,0.08646721,0.4687197,0.2526597,0.1877533,0.3652232,0.1396539
1237680305863262292,90.6718820284287,-29.9997953428664,342.172647306751,25.0737257614794,25.21861,22.81596,18.61625,22.33153,17.9646,1.22969,0.5265712,0.3423046,0.1056767,4.191055,0.6542442,0.3526653,0.2620681,0.5097827,0.1949305
