objID,ra,dec,l,b,psfMag_u,psfMag_r,psfMag_i,psfMag_g,psfMag_z,psfMagErr_u,psfMagErr_r,psfMagErr_i,psfMagErr_g,psfMagErr_z,extinction_u,extinction_r,extinction_i,extinction_g,extinction_z,specObjID,loggadop,loggadopunc,fehadop,fehadopunc,elodiervfinal,elodiervfinalerr,SNR
1237666434190279169,340.498157299629,23.2464345416587,88.0387394886923,-30.7144467193247,20.38513,19.14799,19.02519,19.48128,19.04449,0.04809486,0.0145742,0.01556259,0.01412252,0.04307454,0.2279021,0.1228489,0.09128986,0.1775798,0.06790289,2545776023325140992,2.777934,0.8324596,-2.293886,0.1009188,-39.84082,12.23222,11.95832
1237666434190344615,340.553050943896,23.4181928915353,88.1980298630263,-30.5992722780077,20.71158,18.95916,18.65227,19.60201,18.54655,0.0586818,0.01308667,0.01407948,0.01628695,0.03094231,0.271322,0.146254,0.1086824,0.2114122,0.08083974,2545791416487929856,3.248586,0.1316423,-2.512918,0.0616,-156.7377,8.471215,14.56423
1237666434190541137,341.083719507459,23.3923696722177,88.6549966972765,-30.8883953795247,20.01473,18.79556,18.70343,19.0482,18.73465,0.03610854,0.0127526,0.01722477,0.01362005,0.03412991,0.2528978,0.1363226,0.1013023,0.1970562,0.0753503,2545794440144906240,2.938861,0.6118777,-2.537354,0.03808955,101.1755,7.693341,17.20231
1237666434723873091,332.323008582372,22.2199391963933,80.4651279477884,-26.9824236955937,19.49504,18.14008,17.91089,18.54665,17.82385,0.02690826,0.0185318,0.01609643,0.01433412,0.02477481,0.3551906,0.1914627,0.1422773,0.2767621,0.1058282,2544658645069621248,3.414462,0.2153981,-2.326832,0.03604548,-242.2574,6.240286,25.21782
1237666434724004232,332.726120184578,22.2827090478667,80.8302530016512,-27.1759411662301,20.26912,19.10094,18.99162,19.43397,18.91638,0.04187761,0.0157295,0.01929631,0.01497775,0.03776871,0.3496744,0.1884893,0.1400677,0.2724639,0.1041847,2544680085546362880,3.144164,0.343837,-2.377341,0.0454,-104.0628,9.15451,14.06311
1237666434724266644,333.400837888175,22.4339970054643,81.4784024411035,-27.4599128456425,19.25431,17.97778,18.0709,17.96635,18.0957,0.02494543,0.01592213,0.01266369,0.01266321,0.02548395,0.2852539,0.1537639,0.1142631,0.2222679,0.08499073,2544701251145197568,3.168061,0.3970545,-0.890408,0.006558686,-265.2522,4.649131,24.06578
1237666434727281015,340.623936760403,23.7360439998793,88.4643047634233,-30.3699345899329,20.91224,19.0479,18.79642,19.64402,18.63682,0.06109353,0.0146476,0.01582537,0.01741536,0.02991934,0.2748549,0.1481584,0.1100976,0.2141651,0.08189237,2545773549423978496,2.521152,0.3009412,-0.9381446,0.04694773,-262.9301,6.16085,12.38869
1237666434727543122,341.30338822133,23.8708305919446,89.1541522850105,-30.5962039464423,19.3008,18.18223,18.07891,18.45716,18.06843,0.02422821,0.0153602,0.01431876,0.01364158,0.02219921,0.2452853,0.1322192,0.098253,0.1911246,0.07308218,2545783994784442368,3.480603,0.1031897,-3.179459,0.08461297,-282.0429,5.235096,22.5481
1237666435260482140,331.699834534107,22.5101819267903,80.1874244880946,-26.3867777968443,19.56478,18.24456,18.10892,18.60033,18.0503,0.03471921,0.01725675,0.02065129,0.01639226,0.02826707,0.3821232,0.2059806,0.1530656,0.2977478,0.1138527,2544635280447531008,2.309643,0.3635489,-2.461796,0.1240786,-68.30665,7.04252,21.7856
1237666435260678213,332.114959577254,22.4921610214557,80.4993147335245,-26.6504654814479,18.01898,16.32513,16.15844,16.77892,16.05872,0.02461525,0.008553854,0.01487237,0.01707724,0.0134748,0.3703873,0.1996544,0.1483646,0.2886033,0.110356,2544649024342878208,1.999041,0.3424999,-1.51407,0.05040135,-209.3782,1.641539,55.13147
1237678580890731051,331.026777265462,21.6474458563351,79.0279061951291,-26.6247240729072,19.77625,17.95604,17.80919,18.35984,17.68489,0.04403552,0.01128029,0.0182277,0.01552302,0.02753913,0.3838105,0.2068901,0.1537415,0.2990626,0.1143554,2534493383833970688,2.87553,0.2684451,-1.044759,0.007403493,-294.7196,4.593391,22.60647
1237678580890796141,331.087333638081,21.736907015297,79.1413826094204,-26.5951273721545,17.67339,14.83524,14.49188,15.68833,14.28079,0.02545146,0.01650952,0.01649067,0.01405659,0.01488913,0.3761424,0.2027566,0.1506699,0.2930876,0.1120707,2534492284322342912,1.967561,0.1761543,-1.016031,0.01708528,-231.6506,1.240819,50.51877
1237678580891189385,332.036877389919,21.8722891427177,79.9850284833411,-27.0735261528722,17.34799,15.29451,15.00073,15.94112,14.88915,0.01723341,0.01087278,0.01310456,0.01357694,0.01747639,0.3791974,0.2044034,0.1518936,0.295468,0.112981,2534515648944433152,2.510257,0.1167056,-1.803752,0.04266316,-98.19115,2.186516,48.13948
1237678580891189412,332.071384987133,21.8393866999377,79.9881201248271,-27.1193600850842,18.39214,16.31765,16.05857,16.9614,15.93822,0.02094199,0.01100917,0.01323813,0.01375299,0.01790926,0.3774244,0.2034477,0.1511835,0.2940866,0.1124527,2534525819426990080,3.431924,0.08260705,-0.9753435,0.03663729,-221.3749,1.738421,39.74586
1237678580891189440,332.052669959471,21.9491532496195,80.0538560420611,-27.0248926086111,18.4061,16.03357,15.77373,16.72086,15.678,0.02150166,0.01095946,0.01317831,0.01369838,0.01772078,0.376807,0.2031149,0.1509361,0.2936054,0.1122688,2534526918938617856,3.181424,0.04348468,-0.7928163,0.02312362,-78.62344,1.310203,42.41912
1237678580891451591,332.70330111192,22.0626440365954,80.6523204175995,-27.3303892129798,16.82293,16.09691,16.3103,15.93481,16.43806,0.01501601,0.01364099,0.01752996,0.01855313,0.01345835,0.3341092,0.180099,0.1338328,0.2603356,0.09954704,2534533241130477568,3.451931,0.303676,-0.4299867,0.428,-163.2658,2.693851,45.13425
1237678580891648103,333.158539141175,22.0649900486196,81.0178735895984,-27.6002058958586,19.03196,17.70075,17.72872,17.74974,17.76963,0.02894938,0.01061651,0.01606669,0.01187128,0.02237074,0.2748975,0.1481813,0.1101146,0.2141982,0.08190504,2534545060880476160,3.346537,0.485536,-1.31753,0.1206865,-94.19143,4.894497,24.98872
1237678580891779308,333.47341153129,22.3023438471852,81.4420974095995,-27.6041360701393,17.63347,15.41876,15.16045,16.05703,15.05126,0.01733629,0.01033547,0.01472973,0.01137185,0.01577744,0.2797664,0.1508059,0.1120649,0.217992,0.08335572,2534573098426984448,3.285623,0.08205061,-0.477143,0.03996483,-23.59285,1.220626,47.19732
1237678581428650076,333.321139097782,22.5135345007914,81.4716274948356,-27.3516825131379,17.66813,15.1011,14.83728,15.8088,14.64682,0.02087322,0.01064955,0.0141931,0.01354419,0.01899096,0.2816811,0.151838,0.1128319,0.219484,0.08392621,2534562378188613632,3.122572,0.10365,-0.3468862,0.04773639,-10.89867,1.054068,48.67244
